I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8101 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8102 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8103 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8101 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8102 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.533 | connect to site: 127.0.0.1:8104 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.534 | connect to site: 127.0.0.1:8103 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.534 | connect to site: 127.0.0.1:8105 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.534 | connect to site: 127.0.0.1:8103 success!
I [../src/deptran/s_main.cc:110] 2024-05-16 11:15:03.534 | site 4 launched!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.534 | connect to site: 127.0.0.1:8104 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.534 | connect to site: 127.0.0.1:8102 success!I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.534 | connect to site: 127.0.0.1:8104 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.534 | connect to site: 127.0.0.1:8102 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.534 | connect to site: 127.0.0.1:8105 success!
I [../src/deptran/s_main.cc:110] 2024-05-16 11:15:03.534 | site 1 launched!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.534 | connect to site: 127.0.0.1:8105 success!
I [../src/deptran/s_main.cc:110] 2024-05-16 11:15:03.534 | site 2 launched!

I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.535 | connect to site: 127.0.0.1:8103 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.535 | connect to site: 127.0.0.1:8104 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.535 | connect to site: 127.0.0.1:8103 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.535 | connect to site: 127.0.0.1:8104 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.535 | connect to site: 127.0.0.1:8105 success!
I [../src/deptran/s_main.cc:110] 2024-05-16 11:15:03.535 | site 3 launched!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:03.535 | connect to site: 127.0.0.1:8105 success!
I [../src/deptran/s_main.cc:110] 2024-05-16 11:15:03.536 | site 0 launched!
I [../src/deptran/s_main.cc:121] 2024-05-16 11:15:04.528 | waiting for server setup threads.
I [../src/deptran/s_main.cc:125] 2024-05-16 11:15:04.528 | done waiting for server setup threads.
I [../src/deptran/s_main.cc:132] 2024-05-16 11:15:04.528 | server workers' communicators setup
I [../src/deptran/s_main.cc:55] 2024-05-16 11:15:04.528 | client enabled, number of sites: 1
I [../src/rrr/reactor/reactor.cc:400] 2024-05-16 11:15:04.529 | starting poll thread
I [../src/deptran/communicator.cc:25] 2024-05-16 11:15:04.529 | size of partitions: 1
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:04.529 | connect to site: 127.0.0.1:8101 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:04.530 | connect to site: 127.0.0.1:8102 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:04.530 | connect to site: 127.0.0.1:8103 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:04.530 | connect to site: 127.0.0.1:8104 success!
I [../src/deptran/communicator.cc:191] 2024-05-16 11:15:04.531 | connect to site: 127.0.0.1:8105 success!
I [../src/deptran/quepaxa/client_worker.h:117] 2024-05-16 11:15:04.549 | wait for finish... n_ceased_cleints: 0, n_issued: 0, n_done: 0
I [../src/deptran/quepaxa/client_worker.h:111] 2024-05-16 11:15:04.550 | wait for all virtual clients to stop issuing new requests.
I [../src/rrr/reactor/reactor.cc:96] 2024-05-16 11:15:04.661 | created 1024, busy 1023, idle 0 coroutines on server 0, recent :0
I [../src/rrr/reactor/reactor.cc:96] 2024-05-16 11:15:04.946 | created 2048, busy 2047, idle 0 coroutines on server 0, recent :0
I [../src/deptran/quepaxa/client_worker.h:117] 2024-05-16 11:15:05.549 | wait for finish... n_ceased_cleints: 0, n_issued: 6004, n_done: 0
I [../src/rrr/reactor/reactor.cc:96] 2024-05-16 11:15:05.810 | created 3072, busy 3071, idle 0 coroutines on server 0, recent :0
I [../src/rrr/reactor/reactor.cc:96] 2024-05-16 11:15:05.890 | created 4096, busy 4095, idle 0 coroutines on server 0, recent :0
I [../src/deptran/quepaxa/client_worker.h:117] 2024-05-16 11:15:06.550 | wait for finish... n_ceased_cleints: 10, n_issued: 10000, n_done: 0
I [../src/deptran/quepaxa/client_worker.h:185] 2024-05-16 11:15:08.563 | PERF TEST COMPLETED
I [../src/deptran/s_main.cc:151] 2024-05-16 11:15:14.531 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/s_main.cc:334] 2024-05-16 11:15:14.532 | all clients have shut down.
I [../src/deptran/s_main.cc:382] 2024-05-16 11:15:14.819 | all server workers have shut down.
